#Step   Etot   PotE Ktot  T
438 -1.835883 -2.447162  0.611279 0.61
439 -1.835887 -2.445902  0.610015 0.61
440 -1.835888 -2.444464  0.608576 0.61
441 -1.835886 -2.442830  0.606943 0.61
442 -1.835894 -2.441002  0.605108 0.61
443 -1.835891 -2.438959  0.603068 0.60
444 -1.835890 -2.436724  0.600834 0.60
445 -1.835886 -2.434312  0.598427 0.60
446 -1.835888 -2.431768  0.595880 0.60
447 -1.835885 -2.429123  0.593238 0.59
448 -1.835879 -2.426434  0.590555 0.59
449 -1.835873 -2.423763  0.587891 0.59
450 -1.835866 -2.421178  0.585312 0.59
451 -1.835862 -2.418751  0.582889 0.58
452 -1.835856 -2.416547  0.580691 0.58
453 -1.835855 -2.414646  0.578791 0.58
454 -1.835851 -2.413107  0.577256 0.58
455 -1.835843 -2.411996  0.576153 0.58
456 -1.835840 -2.411384  0.575544 0.58
457 -1.835835 -2.411318  0.575483 0.58
458 -1.835835 -2.411853  0.576018 0.58
459 -1.835837 -2.413019  0.577182 0.58
460 -1.835839 -2.414834  0.578995 0.58
461 -1.835838 -2.417294  0.581456 0.58
462 -1.835839 -2.420383  0.584545 0.58
463 -1.835838 -2.424052  0.588214 0.59
464 -1.835839 -2.428234  0.592396 0.59
465 -1.835845 -2.432841  0.596996 0.60
466 -1.835848 -2.437751  0.601903 0.60
467 -1.835856 -2.442846  0.606990 0.61
468 -1.835864 -2.447988  0.612123 0.61
469 -1.835872 -2.453040  0.617167 0.62
470 -1.835879 -2.457872  0.621993 0.62
471 -1.835880 -2.462360  0.626480 0.63
472 -1.835887 -2.466414  0.630527 0.63
473 -1.835891 -2.469938  0.634047 0.63
474 -1.835893 -2.472869  0.636977 0.64
475 -1.835886 -2.475156  0.639270 0.64
476 -1.835893 -2.476794  0.640900 0.64
477 -1.835892 -2.477753  0.641860 0.64
478 -1.835893 -2.478050  0.642157 0.64
479 -1.835888 -2.477700  0.641812 0.64
480 -1.835882 -2.476742  0.640860 0.64
481 -1.835878 -2.475224  0.639345 0.64
482 -1.835874 -2.473198  0.637324 0.64
483 -1.835872 -2.470731  0.634859 0.63
484 -1.835868 -2.467886  0.632018 0.63
485 -1.835866 -2.464740  0.628874 0.63
486 -1.835866 -2.461364  0.625498 0.63
487 -1.835860 -2.457819  0.621959 0.62
488 -1.835854 -2.454174  0.618320 0.62
489 -1.835852 -2.450484  0.614632 0.61
490 -1.835851 -2.446783  0.610932 0.61
491 -1.835846 -2.443092  0.607246 0.61
492 -1.835847 -2.439426  0.603579 0.60
