material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count
mp-775597,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,918.7640339822556,2.962116325708347,11.484550424778195,P2_1/c,14,Monoclinic,-2.662873083821427,0.004679508875,2.7254,3
mp-779336,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,902.7028484997818,3.014819271984556,11.283785606247273,C2,5,Monoclinic,-2.614957291071428,0.05259530162500001,2.7965,3
mp-780606,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,460.93098185161796,2.952162093335476,11.523274546290448,P1,1,Triclinic,-2.667552592696427,0.0,2.9720999999999993,3
mp-831192,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,460.9309818174778,2.952162093554136,11.523274545436944,P1,1,Triclinic,2.8403471230535713,5.50789971575,0.0,3
mp-760100,Li4Cr2(PO4)3,Cr,Li4 Cr2 P3 O12,84,970.172819392294,2.85267644677076,11.549676421336832,P2_1/c,14,Monoclinic,-2.61336045010771,0.042042688690488,0.8370000000000001,4
mp-772960,Li4Cr2(PO4)3,Cr,Li4 Cr2 P3 O12,42,482.2892070786562,2.8692215278271993,11.483076359015623,P-1,2,Triclinic,-2.6245689210600913,0.030834217738108002,1.3157,4
mp-1101532,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,440.25355887942163,2.986096850567936,12.229265524428378,Cc,9,Monoclinic,-2.466843056236772,0.032869214444451005,0.10059999999999901,1
mp-1101602,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,882.650294800564,2.978846261912167,12.259031872230056,P2/c,13,Monoclinic,-2.465454747903438,0.034257522777784,0.0024000000000000002,1
mp-1247735,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,440.6314571715202,2.983535887473938,12.239762699208894,C2/c,15,Monoclinic,-2.464936310958993,0.03477595972223,0.0688,1
mp-25838,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,430.1063773328274,3.056545624302297,11.947399370356315,R-3c,167,Trigonal,-2.455492755958993,0.044219514722229,0.0,1
mp-26046,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,849.2492435149062,3.096004560875636,11.795128382151475,P2_1/c,14,Monoclinic,-2.456908504986771,0.042803765694451004,0.32630000000000003,1
mp-26080,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,889.488568590106,2.955945274721071,12.354007897084806,Pna2_1,33,Orthorhombic,-2.448030263320104,0.051682007361118006,0.0,1
mp-26609,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,443.33551272268244,2.965338277431221,12.314875353407846,P-1,2,Triclinic,-2.455479578736771,0.044232691944452,0.0,1
mp-26740,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,778.5561852151977,3.377122398065059,10.81328035021108,I4_1/acd,142,Tetragonal,-2.3979381516534373,0.101774119027785,0.0,1
mp-26870,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,422.397108300821,3.112331357829542,11.733253008356138,C2/c,15,Monoclinic,-2.391041450403438,0.108670820277785,0.0,1
mp-31665,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,443.3111966477221,2.965500929284776,12.31419990688117,P-1,2,Triclinic,-2.458351434292327,0.041360836388895005,0.35250000000000004,1
mp-31677,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,399.7886029521397,3.288337276034223,11.105238970892769,C2/m,12,Monoclinic,-2.4244326476256592,0.075279623055562,0.0,1
mp-697757,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,447.24991023738943,2.939385197245511,12.423608617705263,Cc,9,Monoclinic,-2.451948650125659,0.047763620555563005,0.17500000000000002,1
mp-697813,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,919.6702064621188,2.8589373807779572,12.773197311973872,P1,1,Triclinic,-2.386017544708994,0.113694725972228,0.0,1
mp-777371,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,924.2667480452482,2.844719380853041,12.837038167295113,Pbcm,57,Orthorhombic,-2.419090779153437,0.080621491527785,0.2913,1
mp-777539,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,426.6995257006717,3.080949676385114,11.852764602796436,C2/c,15,Monoclinic,-2.400987187347883,0.09872508333334001,0.0,1
mp-939764,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,436.33876575451876,3.012887849531054,12.120521270958854,P-1,2,Triclinic,1.326800908207673,3.826513178888896,0.0,1
mp-759437,Li2Fe2(PO4)3,Fe,Li2 Fe2 P3 O12,76,937.8001984358353,2.907349276468998,12.33947629520836,P1,1,Triclinic,-2.390384560557644,0.034292016249998,0.0,2
mp-771817,Li2Fe2(PO4)3,Fe,Li2 Fe2 P3 O12,38,466.932923675834,2.919597858864818,12.287708517785106,P-1,2,Triclinic,-2.367340189505012,0.05733638730262901,0.0,2
mp-776769,Li2Fe2(PO4)3,Fe,Li2 Fe2 P3 O12,38,473.4079159509488,2.879665333561312,12.458103051340757,C2/c,15,Monoclinic,-2.382787737662907,0.041888839144735006,0.0,2
mp-849334,Li2Fe2(PO4)3,Fe,Li2 Fe2 P3 O12,76,931.6186072310958,2.926640480591619,12.258139568830208,Pbcn,60,Orthorhombic,-2.402089132794486,0.022587444013155003,0.0018999999999990001,2
mp-19430,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,468.01505343808907,2.962101234428311,11.700376335952226,R-3,148,Trigonal,-2.501981877446428,0.010260171749998001,2.477299999999999,3
